name,pred_dir,final_score,cd_score,p2s_score,mean_cd_pred,mean_cd_noisy,mean_p2s_pred,mean_p2s_noisy,mean_disp
a550,results_official_low_ft19_alpha_a550,50.98,42.51,59.45,0.00014654,0.00026112,6.784e-05,0.00017076,0.0023536391090601683
a650,results_official_low_ft19_alpha_a650,56.21,46.98,65.44,0.00013464,0.00026112,5.751e-05,0.00017076,0.0027815732173621655
a750,results_official_low_ft19_alpha_a750,60.19,50.39,70.0,0.00012566,0.00026112,4.966e-05,0.00017076,0.0032095075584948063
a850,results_official_low_ft19_alpha_a850,62.93,52.67,73.19,0.0001197,0.00026112,4.421e-05,0.00017076,0.003637442598119378
a1000,results_official_low_ft19_alpha_a1000,64.76,53.97,75.55,0.00011644,0.00026112,4.022e-05,0.00017076,0.004279343876987696
