pred_dir,name,key,category,model_id,cd_score,p2s_score,final_score,cd_pred,cd_noisy,p2s_pred,p2s_noisy
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/13f5cbc78856f977927930e64238782e,shapenet,03642806,42.2419929740229,65.2830786780616,53.76253582604225,0.00015818972303833752,0.0002738836244249053,5.08235752931796e-05,0.0001463942462578416
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/1a46d6683450f2dd46c0b76a60ee4644,shapenet,03642806,59.33296713907248,80.67687541715654,70.00492127811451,0.0001326410401848408,0.00032616355522775546,4.2912335629807785e-05,0.00022207762231118977
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/1bb2e873cfbef364cef0dab711014aa8,shapenet,03642806,52.834942688296024,70.42137021795192,61.62815645312397,0.00014387279967477398,0.0003050410788731769,6.163061334518716e-05,0.00020836196199525148
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/2134ad3fc25a6284193a4c984002ed32,shapenet,03642806,42.806385496691604,65.87287489744828,54.339630197069944,0.00010716620044655143,0.00018737441474406613,3.321405529277399e-05,9.732450416777283e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/283a115028fffe6e4e67e2e8459ebde,shapenet,03642806,33.15778857247913,43.7298742950031,38.44383143374111,0.0002545443471210944,0.00038081377274165276,0.0001491046859882772,0.0002649801899679005
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/28fbfd8b8c9c6f16e1e44e2fc05361d9,shapenet,03642806,26.016175481506153,58.83018761724226,42.423181549374206,0.00014460047491922793,0.0001954487698633124,2.730139203777071e-05,6.631410360569134e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/2d38fa685e71721986a7e0484f5238e4,shapenet,03642806,37.42677387850439,56.12436664535537,46.775570261929886,0.00015613743424236699,0.00024952754383991964,6.615045276703313e-05,0.00015076808631420135
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/2d47af483371ff60672faaae04fc887,shapenet,03642806,39.911006640822066,62.3021244238235,51.10656553232278,0.00013248148412853454,0.00022047545935182395,4.5983935706317425e-05,0.0001219801779370755
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/2f9cc3e20647ebb1cb8118818e564f96,shapenet,03642806,30.33382850022014,52.03722447986445,41.18552649004229,0.00013085327802497002,0.00018782900683064448,4.027280738228001e-05,8.396679913857952e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/454a88f4b2fe4472f9cacf0b2853f40,shapenet,03642806,40.244635485859895,60.84799759009316,50.54631653797652,0.00013621523598734677,0.00022795482396415422,4.9022884923033416e-05,0.00012521169264800847
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/4e8737495201fa3f71f82dc8af2fe0e0,shapenet,03642806,30.090337223916407,54.194526969426946,42.142432096671676,0.00013681077741364218,0.00019569652031055964,3.9755850593792275e-05,8.679279562784359e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/5363c4a882e17c9088557758112e80be,shapenet,03642806,29.31356400773678,47.09975724290355,38.20666062532017,0.0001234268902697578,0.00017461184530970998,4.578074367600493e-05,8.654165139887482e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/593d32126cea601d5a952e55d06611ce,shapenet,03642806,58.06217699990499,77.91525224695589,67.98871462343044,0.00013802784616393776,0.0003291249671296125,5.15329884365201e-05,0.0002333419834030792
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/5d544ee4b094c6606436916a86a90ed7,shapenet,03642806,34.15050267162588,51.68670181920652,42.918602245416196,0.0001684892155790164,0.0002558701621347313,7.414935680571944e-05,0.0001534760813228786
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/606f4b61d81085d1adbb6cf5d72fbe37,shapenet,03642806,32.52073702224827,52.25032743515219,42.38553222870023,0.00011351556507376148,0.0001682228881355568,3.9948477933648974e-05,8.366230758838356e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/62b25a5e3119b8409023147b38c03c9f,shapenet,03642806,34.13948871424341,53.65909193206524,43.899290323154325,0.00015988951429875191,0.00024276992567673954,6.0077472880948335e-05,0.00012964241614099592
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/645a52293092eceea37e4476f3cf2752,shapenet,03642806,41.51673208896324,59.25812059359552,50.38742634127938,0.00017960484456650526,0.0003071046659699583,7.785024354234338e-05,0.00019108162086922675
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/679bb4a724b1e2bc3339d8259ddfa7bb,shapenet,03642806,27.760648634498974,47.45556859772457,37.60810861611177,0.00013714373971875811,0.00018984630554732962,4.524043470155448e-05,8.60993895912543e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/69850d70fcaf5a464161e123a102b12b,shapenet,03642806,34.104405248556546,53.72026380091253,43.91233452473453,0.00013080586326948046,0.00019850471607833108,4.8070189222926274e-05,0.00010386876238044351
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/6ae14173f5bface824a85bcf396c330,shapenet,03642806,52.055410120334365,61.136931260165326,56.59617069024985,0.00016788627683405678,0.000350167301994716,0.00011023772094631568,0.0002836567582562566
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/6b61ef17b4f45050b598e8984f11eb0c,shapenet,03642806,42.39466249065209,58.940383885809254,50.667523188230675,0.0001409357895480176,0.00024465751897581925,6.244601536309347e-05,0.00015208621334750205
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/71907a4a567dce3bb0de1e7a6809fd90,shapenet,03642806,39.25414199151267,57.48891657121283,48.371529281362754,0.00014762257014546033,0.0002430166845693985,5.7938395912060514e-05,0.0001362900948151946
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/760b1f82f7133ca1de7d2830be38218d,shapenet,03642806,37.84121238092416,52.18910830680245,45.01516034386331,0.00022842729802968165,0.0003674899507846576,0.00012235583562869579,0.00025591623852960765
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/8489cb783d249651b674654e7bbe623d,shapenet,03642806,34.41093140733918,57.15645679130876,45.78369409932397,0.00011776563733634534,0.0001795507084690068,3.743613706319593e-05,8.737871394259855e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/8ac9eb2b975c0d12b5328fde615e4a0c,shapenet,03642806,52.03373666059476,69.85821247989716,60.945974570245966,0.0001419602401029437,0.00029595851379634263,6.029910946381278e-05,0.0002000515378313139
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/90c01fd78513bb99c9b20aa1b8066c46,shapenet,03642806,53.15798395104867,78.54998327577265,65.85398361341066,0.00010692240612385787,0.00022826175118534762,3.006749648193363e-05,0.00014017469948157668
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/928c86eabc0be624c2bf2dcc31ba1713,shapenet,03642806,29.861956245711742,46.358424008611046,38.110190127161395,0.0001695406987854274,0.00024172430497116856,6.592039426323026e-05,0.0001228904875461012
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/93958423b98be8b538ff1b6d120c56aa,shapenet,03642806,34.454647741147014,47.58055051857721,41.01759912986211,0.00018457236120766722,0.00028159488788579616,9.333793423138559e-05,0.00017805973766371608
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/950d3ea26d07b7dafdc319d8ace3a11,shapenet,03642806,51.173150029669316,69.69272611030621,60.43293806998776,0.0001524535147548206,0.0003122329514344217,6.0780752392020077e-05,0.00020054839842487127
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/9d48ab8c41174e60888cad7f6c0e6001,shapenet,03642806,52.066923357064795,70.47804991905413,61.27248663805946,0.00013053318557573968,0.00027232382045515703,5.094705556984991e-05,0.0001725734764477238
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/9ddc0f876f54a784f3655a2ce983ab1f,shapenet,03642806,37.79777229853226,59.39347314101684,48.59562271977455,0.00012736921988841982,0.00020476633168142045,4.7185512812575325e-05,0.00011620179429883137
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/9e901676eeb65f352b1c9d869bc37167,shapenet,03642806,45.51430911248164,61.65532808145533,53.58481859696849,0.00018341737539654253,0.00033663402704242845,9.038588177645579e-05,0.0002357195335207507
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/a874a1d28852062ec2743f037f439af3,shapenet,03642806,34.02292004306072,54.25532612733542,44.13912308519807,0.0001597252263351707,0.00024209199079349567,5.784314271295443e-05,0.00012644781963899732
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/b210db4bca21536ed6daca3908cc94ab,shapenet,03642806,35.40681040102378,54.53927086154189,44.973040631282835,0.00015527337691489888,0.00024038660713134985,6.305109127424657e-05,0.00013869353279005736
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/b806daf849a5dba289c212008d2a390e,shapenet,03642806,47.7293608818286,65.48949554889734,56.60942821536297,0.00015372987800347355,0.0002941036891780242,6.509810918942094e-05,0.0001886327372631058
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/b95ca4fa91a57394e4b68d3b17c43658,shapenet,03642806,55.43987828665,74.79668648005877,65.11828238335438,0.00014338197834064698,0.0003217719629739935,5.462828994495794e-05,0.00021675042808055878
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/bd879abd9b5c15d75d66db82418edc83,shapenet,03642806,36.55878706959118,66.0008896787264,51.279838374158786,9.618151486718691e-05,0.00015160730765455607,2.22552043851465e-05,6.545819633174688e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/c8309234b360aa2c747803756378b292,shapenet,03642806,48.05774007335173,69.17838442402527,58.6180622486885,0.00015893782072775618,0.000305989421623558,6.09864218859002e-05,0.00019786899792961776
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/cb1e3a990782678b4b6682da890df381,shapenet,03642806,33.73044550988732,50.733957244078894,42.232201376983106,0.00015009846835616482,0.0002264968725247116,6.331053009489551e-05,0.00012850743951275945
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/d7e7e6651a23afc68ba4e518219eb66a,shapenet,03642806,56.090674834662565,75.89149390968004,65.9910843721713,0.00012678017054127712,0.0002887317672587666,4.4151216570753604e-05,0.0001831354311434552
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/e466c2c86a439c1faebff3b001eb4a27,shapenet,03642806,31.540913978837693,56.488331176068286,44.01462257745299,0.00012528260340549302,0.00018300361673944234,3.56296259269584e-05,8.188522042473778e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/e55ececde88255b93e73f3893a7337bb,shapenet,03642806,33.3893597999827,55.17655420222627,44.282957001104485,0.00017323172200924865,0.0002600661418191919,6.319671956589445e-05,0.00014099031977821141
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/e6329b09d7920f006f729e50d852de2e,shapenet,03642806,45.236182586248766,62.71659732884611,53.97638995754744,0.00014958017990742252,0.00027313687571725565,6.521985051222146e-05,0.00017492998449597508
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/e9bb4175bc73a2eeb60886b233d6cbd8,shapenet,03642806,52.89783402777965,71.87716986734117,62.38750194756041,0.00012588613689341405,0.00026726188551001766,4.8600344598526135e-05,0.00017281455802731216
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/ec3223edbdef2db93334fb6668ccd834,shapenet,03642806,60.884775366659284,75.5513518078801,68.21806358726968,0.00012034269570058108,0.00030766203397437306,5.3793035476701334e-05,0.00022002457990311086
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/f28fe2f836cb0dfaa8f4918d18e28074,shapenet,03642806,39.54636902442815,58.88045735519967,49.213413189813906,0.00018000231351435092,0.0002977526917896568,7.166258001234382e-05,0.00017427864077035338
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/fae8d4929159d0df7d14ad32b7473fd2,shapenet,03642806,53.23725939400069,72.57629838934938,62.90677889167503,0.0001637742386699871,0.00035022378189907905,6.556258449563757e-05,0.00023907270224299282
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/03642806/fd2f7a1c6eb7a0d4803dd502eefd8dc3,shapenet,03642806,36.01698469114225,56.00712777282553,46.01205623198389,0.00015313374172063853,0.00023933498754541947,5.545713793253526e-05,0.0001260593708138913
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/1aa78ce410bdbcd92530f02db7e9157e,shapenet,04074963,46.35541334307529,64.34415738124007,55.349785362157675,0.00014101981154135607,0.00026287799073413596,5.7056699006352574e-05,0.00016002061602193862
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/2053bdd83749adcc1e5c09d9fe5c0c76,shapenet,04074963,27.63185772298581,32.09133417347337,29.861595948229592,0.0002997995824363143,0.00041427010975178454,0.00023992033675312996,0.0003532985574565828
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/226078581cd4efd755c5278938766a05,shapenet,04074963,42.40799067856409,60.422789062252825,51.41538987040846,9.150168331117143e-05,0.00015887912991622996,3.7862548197153956e-05,9.566755034029484e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/240456647fbca47396d8609ec76a915b,shapenet,04074963,44.64354826119408,58.06319529414075,51.35337177766741,0.00011883178414034997,0.00021466654817589516,6.338706589303911e-05,0.00015114901179913431
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/25182f6e03375c9e7b6fd5468f603b31,shapenet,04074963,40.95796526855624,61.74289548463623,51.350430376596236,0.00012434804663944744,0.00021060935180342616,4.430606713867746e-05,0.00011581134458538145
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/28f2a5df4a926c3e140a527375fd6757,shapenet,04074963,39.932410020377404,48.4534047959848,44.1929074081811,0.00027342856262530055,0.0004552014867219724,0.00018449619528837502,0.00035792120615951717
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/2c6493d31849c15a75f1efca97bee05a,shapenet,04074963,45.178346525323455,66.04360661555249,55.61097657043797,9.057779032224588e-05,0.0001652226530600467,3.169162664562464e-05,9.333036723546684e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/3039044a24972ae37bdb91f66fe1a363,shapenet,04074963,57.91247443374735,70.63978352848659,64.27612898111697,0.00014009349643054954,0.00033286227818268735,7.449648546753451e-05,0.00025373275275342166
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/33a7613166c65aa0c7c51d4ea74651a7,shapenet,04074963,24.884184381511243,37.45996588597219,31.172075133741714,0.0001514160807027224,0.00020157683099889464,7.51878906157799e-05,0.00012022361624985933
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/33f2d5cb9df739a0cf01bc59d215f0,shapenet,04074963,33.752652303189976,42.075767684275824,37.9142099937329,0.00022728854302483454,0.0003430907816340835,0.00014966516755521297,0.0002583809255156666
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/404b2de4bc8bef211eba86b475bafe7,shapenet,04074963,29.602683127684358,39.59051195456463,34.596597541124495,0.00012720898685429868,0.00018070147060437856,7.464530790457502e-05,0.00012356553634162992
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/436c74caa92dcf123c81d9b042c20aa4,shapenet,04074963,63.6794782249962,78.28516288169187,70.98232055334404,0.00011304481665486035,0.00031124227056853317,5.045380021329038e-05,0.00023234712716657668
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/48d98af2e73604103c207eb23f7d33b0,shapenet,04074963,29.85664931666403,40.36308870992493,35.10986901329448,0.00013927767485066275,0.00019856147944719027,7.860654295654967e-05,0.00013180854148231447
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/49c6003c2248bdd1906ed109a4ea50d6,shapenet,04074963,38.183986809174264,62.03723641007881,50.11061160962654,0.00013864371090261678,0.000224284459230045,4.3012169044231996e-05,0.00011330094275763258
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/4c78551ab00fb1873fbe480a485feffd,shapenet,04074963,64.50172070829257,78.62349803507136,71.56260937168196,0.00011343059865442738,0.00031953830134218733,5.1499231631169096e-05,0.0002409151493338868
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/4df6e942001af26f16a077c4c0fc1181,shapenet,04074963,42.6712124783255,57.85901767416392,50.26511507624471,0.00012086922065615381,0.00021083512469273203,5.841575693921186e-05,0.00013861982733942568
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/4e73215ae0f33d23a5e3ac6ff4952f3,shapenet,04074963,47.04440640934824,67.36644539753422,57.20542590344123,0.00015172231271026854,0.00028650856769369125,5.9755038819275796e-05,0.00018310919404029846
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/4fae99783aa8706c548eb4d45dc63633,shapenet,04074963,40.22634214321983,61.428980963685675,50.82766155345276,7.8765937382333e-05,0.00013177366118543224,2.7508594939718023e-05,7.131933671189472e-05
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/55858ff5b407677f35a527bc320873ed,shapenet,04074963,38.86507161883481,47.37847460721013,43.12177311302247,0.00024026911850166927,0.0003930144761168851,0.00016276378300972283,0.0003093102714046836
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/57759e351ec76d86d3c1501c166e6b2a,shapenet,04074963,37.84872794694722,55.43315275176347,46.64094034935535,0.00014917910585617936,0.00024002582880176452,6.458218558691442e-05,0.00014491082401946187
results_official_low_ft19_alpha_a550,results_official_low_ft19_alpha_a550,shapenet/04074963/58156300ed442f981047874d2f3335a,shapenet,04074963,42.83499291254857,57.33458591879388,50.084789415671224,0.00011479167866425917,0.00020080759981127975,5.8376186643727124e-05,0.00013682320422958583
