name,pred_dir,final_score,cd_score,p2s_score,mean_cd_pred,mean_cd_noisy,mean_p2s_pred,mean_p2s_noisy,mean_disp
base_a1000,results_official_low_ft19_alpha_a1000,64.76,53.97,75.55,0.00011644,0.00026112,4.022e-05,0.00017076,0.004279343876987696
hgb_fullfit_small,results_official_low_ft19_sklearn_hgb_gate_oof_fullfit,66.46,55.92,77.0,0.00011073,0.00026112,3.711e-05,0.00017076,0.003930971026420593
hgb_oof,results_official_low_ft19_sklearn_hgb_gate_oof,66.16,55.62,76.7,0.00011156,0.00026112,3.763e-05,0.00017076,0.003916385117918253
oracle_dir_alpha,results_official_low_ft19_oracle_dir_alpha_clip015,71.81,62.04,81.59,9.494e-05,0.00026112,3.001e-05,0.00017076,0.003925593104213476
