name,pred_dir,final_score,cd_score,p2s_score,mean_cd_pred,mean_cd_noisy,mean_p2s_pred,mean_p2s_noisy,mean_disp
base_a1000,results_official_low_ft19_alpha_a1000,53.97,53.97,,0.00011644,0.00026112,,,0.004279343876987696
clip_k16_s0500,results_official_low_ft19_adaptive_clip_k16_s0500,47.23,47.23,,0.00013614,0.00026112,,,0.0033143283799290657
clip_k16_s0750,results_official_low_ft19_adaptive_clip_k16_s0750,53.09,53.09,,0.00011929,0.00026112,,,0.003925811965018511
clip_k16_s1000,results_official_low_ft19_adaptive_clip_k16_s1000,54.26,54.26,,0.0001156,0.00026112,,,0.0041853575967252254
clip_k16_s1250,results_official_low_ft19_adaptive_clip_k16_s1250,54.06,54.06,,0.00011617,0.00026112,,,0.0042664241045713425
clip_k16_s1500,results_official_low_ft19_adaptive_clip_k16_s1500,53.97,53.97,,0.00011642,0.00026112,,,0.004278650972992182
clip_k16_s2000,results_official_low_ft19_adaptive_clip_k16_s2000,53.97,53.97,,0.00011644,0.00026112,,,0.004279342945665121
