name,pred_dir,final_score,cd_score,p2s_score,mean_cd_pred,mean_cd_noisy,mean_p2s_pred,mean_p2s_noisy,mean_disp
base_a1000,results_official_low_ft19_alpha_a1000,64.76,53.97,75.55,0.00011644,0.00026112,4.022e-05,0.00017076,0.004279343876987696
clip_k16_s1000,results_official_low_ft19_adaptive_clip_k16_s1000,65.0,54.26,75.75,0.0001156,0.00026112,3.986e-05,0.00017076,0.0041853575967252254
ratio_gate_med,results_official_low_ft19_ratio_gate_med,64.86,54.15,75.57,0.00011598,0.00026112,4.024e-05,0.00017076,0.004126668442040682
ratio_gate_mean,results_official_low_ft19_ratio_gate_mean,62.62,52.44,72.79,0.00012017,0.00026112,4.472e-05,0.00017076,0.0035314385313540697
