name,pred_dir,final_score,cd_score,p2s_score,mean_cd_pred,mean_cd_noisy,mean_p2s_pred,mean_p2s_noisy,mean_disp
base_a1000,results_official_low_ft19_alpha_a1000,64.76,53.97,75.55,0.00011644,0.00026112,4.022e-05,0.00017076,0.004279343876987696
clip_k16_s1000,results_official_low_ft19_adaptive_clip_k16_s1000,65.0,54.26,75.75,0.0001156,0.00026112,3.986e-05,0.00017076,0.0041853575967252254
sklearn_hgb_gate,results_official_low_ft19_sklearn_hgb_gate,66.59,56.04,77.13,0.00011039,0.00026112,3.688e-05,0.00017076,0.0039423382841050625
oracle_dir_alpha,results_official_low_ft19_oracle_dir_alpha_clip015,71.81,62.04,81.59,9.494e-05,0.00026112,3.001e-05,0.00017076,0.003925593104213476
